#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-10T06:17:11 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-10T06:17:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-out.add=_Glon,_Glat&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/402/2403/at20gcat&-order=I&-out=AT20G&-out=RAJ2000&-out=DEJ2000&DEJ2000=&gt;-30 & &lt;0&-out=S20&-out=e_S20&-out=S8&-out=e_S8&-out=S5&-out=e_S5&-out=Ep&-out.all=2&-out=Q&-out=Flags&-out=l_P20&-out=P20&-out=e_P20&-out=l_m20&-out=m20&-out=PA20&-out=l_P8&-out=P8&-out=e_P8&-out=l_m8&-out=m8&-out=PA8&-out=l_P5&-out=P5&-out=e_P5&-out=l_m5&-out=m5&-out=PA5&-out=Sp&Sp=Sp&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74022403
#Name: J/MNRAS/402/2403
#Title: Australia Telescope 20GHz Survey Catalog, AT20G (Murphy+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/mnras/402/2403	    IVOID of underlying data collection
#INFO	creator=Murphy T.	    First author or institution
#INFO	cites=bibcode:2010MNRAS.402.2403M	    Article or Data origin sources
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/402/2403	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74022403	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_MNRAS_402_2403_at20gcat:
#Name: J/MNRAS/402/2403/at20gcat
#Title: The AT20G catalogue, version 1.0 (2009-10-15)
#Column	_Glon	(F11.7)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F11.7)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	AT20G	(A14)	IAU designation (JHHMMSS+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	S20	(I5)	? Peak brightness at 20GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_S20	(I3)	? Uncertainty on S20	[ucd=stat.error]
#Column	S8	(I4)	? Peak brightness at 8GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_S8	(I3)	? Uncertainty on S8	[ucd=stat.error]
#Column	S5	(I5)	? Peak brightness at 5GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_S5	(I3)	? Uncertainty on S5	[ucd=stat.error]
#Column	Ep	(A3)	[1-8.] Epochs of observation at 20, 8, 5GHz (4)	[ucd=meta.id]
#Column	Q	(A1)	[gp] Quality flag (g=good or p=poor)	[ucd=meta.code.qual]
#Column	Flags	(A3)	Other flags (5)	[ucd=meta.code.error]
#Column	l_P20	(A1)	Limit flag on P20	[ucd=meta.code.error]
#Column	P20	(I4)	? Polarized flux density (or limit) at 20GHz	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_P20	(I2)	? Uncertainty on P20	[ucd=stat.error]
#Column	l_m20	(A1)	Limit flag on m20	[ucd=meta.code.error]
#Column	m20	(F4.1)	? Fractional polarisation at 20GHz	[ucd=phys.polarization]
#Column	PA20	(I3)	[-90/90]? Position angle at 20GHz	[ucd=pos.posAng]
#Column	l_P8	(A1)	Limit flag on P8	[ucd=meta.code.error]
#Column	P8	(I3)	? Polarized flux density (or limit) at 8GHz	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_P8	(I2)	? Uncertainty on P8	[ucd=stat.error]
#Column	l_m8	(A1)	Limit flag on m8	[ucd=meta.code.error]
#Column	m8	(F5.1)	? Fractional polarisation at 8GHz	[ucd=phys.polarization]
#Column	PA8	(I3)	[-90/90]? Position angle at 8GHz	[ucd=pos.posAng]
#Column	l_P5	(A1)	Limit flag on P5	[ucd=meta.code.error]
#Column	P5	(I4)	? Polarized flux density (or limit) at 5GHz	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_P5	(I1)	? Uncertainty on P5	[ucd=stat.error]
#Column	l_m5	(A1)	Limit flag on m5	[ucd=meta.code.error]
#Column	m5	(F5.1)	? Fractional polarisation at 5GHz	[ucd=phys.polarization]
#Column	PA5	(I3)	[-90/90]? Position angle at 5GHz	[ucd=pos.posAng]
#Column	Sp	(A2)	SPECFIND of radio surveys with this source (Vollmer et al., Cat. VIII/85)	[ucd=meta.ref.url]
_Glon	_Glat	_RAJ2000	_DEJ2000	AT20G	RAJ2000	DEJ2000	S20	e_S20	S8	e_S8	S5	e_S5	Ep	Q	Flags	l_P20	P20	e_P20	l_m20	m20	PA20	l_P8	P8	e_P8	l_m8	m8	PA8	l_P5	P5	e_P5	l_m5	m5	PA5	Sp
262.6697369	+28.4428169	154.9542083	-22.3331389	J101949-221959	10 19 49.01	-22 19 59.3	   57	  4	 175	  9	  305	 15	444	g	   	<	  13	  	<	22.0	   	<	  6	  	<	  3.4	   	<	   6	 	<	  2.0	   	Sp
243.7485889	+44.3713555	154.9865417	 -0.4033611	J101956-002412	10 19 56.77	-00 24 12.1	   56	  3	    	   	     	   	6..	g	   	<	  11	  	<	19.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
260.7674904	+30.8609784	155.2009167	-19.4131389	J102048-192447	10 20 48.22	-19 24 47.3	   51	  4	    	   	     	   	4..	g	   	<	  18	  	<	34.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
257.8651136	+34.0327657	155.3746250	-15.4096389	J102129-152434	10 21 29.91	-15 24 34.7	   53	  4	    	   	     	   	4..	g	   	<	   9	  	<	16.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
248.6895459	+41.7208315	155.4228750	 -4.8600000	J102141-045136	10 21 41.49	-04 51 36.0	   44	  3	    	   	     	   	6..	g	   	<	   6	  	<	13.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
254.1616457	+37.7647188	155.6365833	-10.6291389	J102232-103744	10 22 32.78	-10 37 44.9	  259	 13	    	   	     	   	6..	g	   	 	  31	 2	 	12.0	-45	 	   	  	 	     	   	 	    	 	 	     	   	Sp
251.3276668	+40.0693056	155.6405833	 -7.4399722	J102233-072623	10 22 33.74	-07 26 23.9	   44	  2	    	   	     	   	6..	g	   	<	   6	  	<	13.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
248.8013388	+42.0005603	155.6837917	 -4.7274167	J102244-044338	10 22 44.11	-04 43 38.7	   87	  5	    	   	     	   	6..	g	   	<	   7	  	<	 8.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
253.6868794	+38.3132221	155.7395417	 -9.9730833	J102257-095823	10 22 57.49	-09 58 23.1	  127	  6	    	   	     	   	6..	g	   	<	   6	  	<	 4.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
245.3010484	+44.9202165	156.1229583	 -0.8828056	J102429-005258	10 24 29.51	-00 52 58.1	  173	  9	    	   	     	   	6..	g	   	<	   7	  	<	 3.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
244.7022097	+45.3527865	156.1718333	 -0.2801667	J102441-001648	10 24 41.24	-00 16 48.6	   65	  4	    	   	     	   	6..	g	   	<	  10	  	<	15.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
261.0527865	+32.0496836	156.1932500	-18.6435833	J102446-183836	10 24 46.38	-18 38 36.9	  221	  3	 850	 14	  801	 23	444	g	ep 	<	   6	  	<	13.2	   	<	  8	  	<	  2.9	   	<	   6	 	<	  1.3	   	Sp
254.6239327	+38.2377226	156.2352917	-10.5288333	J102456-103143	10 24 56.47	-10 31 43.8	  118	  7	    	   	     	   	6..	g	   	<	  15	  	<	12.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
263.9858906	+28.9655349	156.2876667	-22.6293889	J102509-223745	10 25 09.04	-22 37 45.8	   84	  6	  79	  4	   67	  4	444	g	   	<	   6	  	<	 7.5	   	<	  6	  	<	  7.6	   	<	   6	 	<	  8.9	   	Sp
254.0653739	+38.8160170	156.3074167	 -9.8075000	J102513-094827	10 25 13.78	-09 48 27.0	   78	  4	    	   	     	   	6..	g	   	<	  12	  	<	14.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
249.9311522	+42.2377747	156.4397917	 -5.1647778	J102545-050953	10 25 45.55	-05 09 53.2	  185	 10	    	   	     	   	6..	g	   	<	  18	  	<	 9.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
249.2912507	+42.7165420	156.4534583	 -4.4926389	J102548-042933	10 25 48.83	-04 29 33.5	  119	  6	    	   	     	   	6..	g	   	<	  15	  	<	12.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
264.4760106	+29.1487633	156.7778333	-22.7416389	J102706-224429	10 27 06.68	-22 44 29.9	   50	  3	    	   	     	   	4..	g	   	<	  17	  	<	34.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
264.3177425	+29.3437073	156.7850833	-22.5028333	J102708-223010	10 27 08.42	-22 30 10.2	  110	  7	 165	  9	  156	  8	444	g	   	<	   7	  	<	 6.0	   	<	  6	  	<	  3.6	   	<	   6	 	<	  3.8	   	Sp
252.3610547	+41.0155815	156.8736667	 -7.3109722	J102729-071839	10 27 29.68	-07 18 39.5	   57	  3	    	   	     	   	7..	g	   	<	   7	  	<	12.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
267.3539966	+26.0616242	157.0401250	-26.7385000	J102809-264418	10 28 09.63	-26 44 18.6	  111	  7	 293	 15	  450	 23	444	g	   	<	   6	  	<	 5.4	   	 	  6	 2	 	  2.2	-14	<	   6	 	<	  1.3	   	Sp
248.0703687	+44.5086844	157.1417917	 -2.6162222	J102834-023658	10 28 34.03	-02 36 58.4	  246	 13	    	   	     	   	6..	g	   	<	  15	  	<	 6.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
246.4071173	+45.6077605	157.1542083	 -1.0075000	J102837-010027	10 28 37.01	-01 00 27.0	   58	  5	    	   	     	   	6..	g	   	<	  19	  	<	33.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
251.5438953	+42.3436601	157.3632500	 -5.9326667	J102927-055557	10 29 27.18	-05 55 57.6	   42	  2	    	   	     	   	7..	g	   	<	   6	  	<	14.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
262.2768098	+32.5650404	157.3879583	-18.8805833	J102933-185250	10 29 33.11	-18 52 50.1	  328	 20	 495	 26	  542	 27	444	g	   	<	   6	  	<	 1.8	   	 	  9	 2	 	  1.7	  1	 	  11	1	 	  2.0	  3	Sp
259.4768679	+35.4987307	157.4032083	-15.1406111	J102936-150826	10 29 36.77	-15 08 26.2	   44	  3	 137	  7	  260	 13	444	g	   	<	   8	  	<	18.5	   	 	  8	 2	 	  5.9	  0	 	  12	2	 	  4.7	  3	Sp
247.4641433	+45.3596730	157.4712917	 -1.7218333	J102953-014318	10 29 53.11	-01 43 18.6	   96	  5	    	   	     	   	6..	g	   	<	  17	  	<	18.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
262.7325647	+32.2606426	157.5135833	-19.3566111	J103003-192123	10 30 03.26	-19 21 23.8	   54	  4	  55	  4	   49	  3	444	g	   	<	   7	  	<	13.3	   	<	  7	  	<	 12.0	   	<	   6	 	<	 12.2	   	Sp
265.3092332	+30.0172008	157.9680833	-22.4735278	J103152-222824	10 31 52.34	-22 28 24.7	  124	  8	 291	 15	  371	 19	444	g	   	<	   6	  	<	 4.8	   	<	  6	  	<	  2.1	   	<	   6	 	<	  1.6	   	Sp
250.6651152	+43.8670065	157.9793750	 -4.3978611	J103155-042352	10 31 55.05	-04 23 52.3	  242	 12	    	   	     	   	6..	g	   	<	  11	  	<	 4.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
259.1623217	+36.7591172	158.0263333	-14.0050833	J103206-140018	10 32 06.32	-14 00 18.3	  140	  7	    	   	     	   	6..	g	   	<	  15	  	<	10.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
258.0401998	+38.3995555	158.3990833	-12.1748056	J103335-121029	10 33 35.78	-12 10 29.3	  173	  9	    	   	     	   	6..	g	   	<	  11	  	<	 6.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
264.4349635	+32.2941093	158.7589583	-20.1928889	J103502-201134	10 35 02.15	-20 11 34.4	 1192	 78	1858	 97	 1813	 90	444	g	   	<	  12	  	<	 1.0	   	 	 26	 2	 	  1.4	-56	 	  27	2	 	  1.5	-69	Sp
262.5181428	+34.4570105	158.7685833	-17.5022500	J103504-173008	10 35 04.46	-17 30 08.1	   65	  4	  64	  4	   43	  3	444	g	   	<	   8	  	<	12.9	   	<	  6	  	<	  9.8	   	<	   6	 	<	 14.1	   	Sp
263.2229055	+33.9371103	158.9289167	-18.2682778	J103542-181605	10 35 42.94	-18 16 05.8	  117	  8	  71	  4	   58	  3	444	g	   	<	   7	  	<	 6.4	   	<	  6	  	<	  8.4	   	<	   6	 	<	 10.3	   	Sp
268.6969668	+27.5313959	159.0756667	-26.2119444	J103618-261243	10 36 18.16	-26 12 43.0	   50	  4	    	   	     	   	4..	g	   	<	  15	  	<	30.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
253.5007118	+43.4846953	159.1979583	 -6.0947222	J103647-060541	10 36 47.51	-06 05 41.0	  106	  6	    	   	     	   	6..	g	   	<	  11	  	<	 9.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
270.9519027	+24.8459205	159.3167500	-29.5674444	J103716-293402	10 37 16.02	-29 34 02.8	 2681	176	2512	131	 2012	100	444	g	   	 	  54	 2	 	 2.0	 76	 	119	 2	 	  4.8	 63	 	  96	2	 	  4.8	 47	Sp
269.5290866	+26.9682320	159.4154167	-27.0906944	J103739-270526	10 37 39.70	-27 05 26.5	  171	 11	 162	 10	  173	  9	444	g	   	<	   6	  	<	 3.5	   	<	  6	  	<	  3.7	   	<	   6	 	<	  3.5	   	Sp
258.7152142	+39.4904534	159.5237083	-11.6699722	J103805-114011	10 38 05.69	-11 40 11.9	   67	  4	    	   	     	   	6..	g	   	<	  12	  	<	17.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
266.3882332	+31.4394597	159.6742083	-21.8518889	J103841-215106	10 38 41.81	-21 51 06.8	   74	  5	 105	  6	  103	  5	444	g	   	<	   6	  	<	 8.1	   	<	  6	  	<	  5.7	   	<	   6	 	<	  5.8	   	Sp
262.1154669	+36.4894012	159.7781667	-15.6850833	J103906-154106	10 39 06.76	-15 41 06.3	  468	 31	 640	 33	  615	 31	444	g	   	 	   9	 1	 	 1.9	  1	 	  9	 2	 	  1.3	 77	 	  22	2	 	  3.7	 39	Sp
268.6542628	+28.7736994	159.8072917	-25.1583611	J103913-250930	10 39 13.75	-25 09 30.1	   89	  6	 144	  8	  183	  9	444	g	   	<	   8	  	<	 8.8	   	<	  6	  	<	  4.2	   	<	   6	 	<	  3.3	   	Sp
268.0294414	+30.2869716	160.2322917	-23.5976944	J104055-233551	10 40 55.75	-23 35 51.7	   73	  5	 118	  6	  123	  6	444	g	   	<	   9	  	<	12.0	   	<	  6	  	<	  5.1	   	<	   6	 	<	  4.9	   	Sp
265.2319118	+33.7497448	160.2385833	-19.4009167	J104057-192403	10 40 57.26	-19 24 03.3	   76	  5	 203	 11	  329	 16	444	g	   	<	   6	  	<	 7.9	   	 	 16	 2	 	  8.0	 45	 	  21	1	 	  6.4	 44	Sp
266.7355644	+32.5562882	160.6155833	-21.0991111	J104227-210556	10 42 27.74	-21 05 56.8	   58	  4	    	   	     	   	4..	g	l  	<	  11	  	<	18.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
254.9889621	+44.7208010	160.8289583	 -5.8978611	J104318-055352	10 43 18.95	-05 53 52.3	  176	  9	    	   	     	   	6..	g	   	<	  15	  	<	 8.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
250.9764498	+47.8275661	160.9240417	 -1.7354722	J104341-014407	10 43 41.77	-01 44 07.7	   72	  4	    	   	     	   	6..	g	   	<	  11	  	<	15.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
263.2274400	+37.1484482	160.9285833	-15.6883889	J104342-154118	10 43 42.86	-15 41 18.2	   71	  5	 150	  8	  192	 10	444	g	   	<	   7	  	<	 9.3	   	<	  6	  	<	  4.0	   	<	   6	 	<	  3.1	   	Sp
255.6438169	+44.3536752	160.9370000	 -6.4819167	J104344-062854	10 43 44.88	-06 28 54.9	   52	  3	    	   	     	   	6..	g	   	<	  16	  	<	30.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
259.6295956	+41.1000934	161.1074167	-10.8546111	J104425-105116	10 44 25.78	-10 51 16.6	   85	  5	    	   	     	   	6..	g	   	<	  10	  	<	11.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
265.2663209	+35.6454275	161.4117083	-17.8650833	J104538-175154	10 45 38.81	-17 51 54.3	   43	  4	    	   	     	   	4..	g	   	<	  12	  	<	28.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
262.1307318	+39.6783324	161.7658333	-13.1426111	J104703-130833	10 47 03.80	-13 08 33.4	  214	 11	    	   	     	   	6..	g	   	<	  11	  	<	 4.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
250.5801563	+49.3504908	161.8082917	 -0.4680278	J104713-002804	10 47 13.99	-00 28 04.9	   76	  4	    	   	     	   	6..	g	   	<	  12	  	<	15.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
267.4195705	+33.9752896	161.9682083	-20.2394444	J104752-201422	10 47 52.37	-20 14 22.0	   94	  6	 121	  6	   73	  4	444	g	   	<	   7	  	<	 7.7	   	<	  6	  	<	  5.0	   	<	   6	 	<	  8.2	   	Sp
266.7511446	+34.9052654	162.0274167	-19.1598056	J104806-190935	10 48 06.58	-19 09 35.3	 1239	 80	1517	 79	 1357	 68	444	g	   	 	  23	 1	 	 1.9	  9	 	 54	 2	 	  3.6	 31	 	  45	1	 	  3.3	 45	Sp
269.2445092	+32.2489590	162.3409167	-22.5188889	J104921-223108	10 49 21.82	-22 31 08.0	  143	  9	 231	 12	  240	 12	444	g	   	<	   6	  	<	 4.2	   	<	  6	  	<	  2.6	   	<	   6	 	<	  2.5	   	Sp
254.3942768	+47.8336580	162.6016667	 -3.3023056	J105024-031808	10 50 24.40	-03 18 08.3	  144	  8	    	   	     	   	6..	g	   	<	  12	  	<	 8.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
272.5769489	+28.1095197	162.6762500	-27.5521389	J105042-273307	10 50 42.30	-27 33 07.7	   87	  5	 239	 13	  399	 20	444	g	   	 	  15	 2	 	17.1	-15	 	 46	 3	 	 19.4	-12	 	  55	1	 	 13.7	-14	Sp
269.0419637	+48.9628579	171.1567500	 -8.1120000	J112437-080643	11 24 37.62	-08 06 43.2	   69	  4	    	   	     	   	6..	g	   	<	  10	  	<	14.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
260.1729019	+43.3933503	162.8657500	 -9.2977500	J105127-091751	10 51 27.78	-09 17 51.9	  139	  6	    	   	     	   	6..	g	e  	<	  26	  	<	25.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
268.3926182	+34.3113470	162.8835833	-20.3962778	J105132-202346	10 51 32.06	-20 23 46.6	   62	  4	 229	 12	  460	 23	444	g	   	 	   7	 2	 	10.9	 83	 	 21	 2	 	  9.2	 77	 	  28	2	 	  6.0	 72	Sp
262.4534864	+41.7875335	163.2488333	-11.5901111	J105259-113524	10 52 59.72	-11 35 24.4	   72	  5	    	   	     	   	6..	g	   	<	  15	  	<	21.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
261.4566155	+42.9957516	163.3770833	-10.1808889	J105330-101051	10 53 30.50	-10 10 51.2	   69	  4	    	   	     	   	6..	g	   	<	   9	  	<	13.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
259.2634738	+45.5176997	163.6708750	 -7.2242778	J105441-071327	10 54 41.01	-07 13 27.4	  120	  6	    	   	     	   	6..	g	   	<	   9	  	<	 7.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
272.8787941	+29.5475511	163.7438750	-26.4417500	J105458-262630	10 54 58.53	-26 26 30.3	   62	  4	  86	  5	  107	  5	444	g	   	<	   8	  	<	12.6	   	<	  6	  	<	  7.0	   	<	   6	 	<	  5.6	   	Sp
274.1768198	+27.7967876	163.8891250	-28.5263056	J105533-283134	10 55 33.39	-28 31 34.7	  181	  8	 712	  4	  996	 17	444	g	e  	<	  11	  	<	 9.2	   	<	  6	  	<	  3.6	   	 	  22	1	 	  6.5	 -9	Sp
263.5379378	+42.1268695	164.1198333	-11.7850000	J105628-114706	10 56 28.76	-11 47 06.0	   99	  5	    	   	     	   	6..	g	   	<	  12	  	<	12.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
264.8775144	+40.7172887	164.1409583	-13.5156944	J105633-133056	10 56 33.83	-13 30 56.5	  153	  8	    	   	     	   	6..	g	   	<	  14	  	<	 9.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
271.8378339	+32.1969436	164.3515000	-23.7005000	J105724-234201	10 57 24.36	-23 42 01.8	  370	 24	 378	 20	  288	 14	444	g	   	<	   6	  	<	 1.6	   	<	  7	  	<	  1.9	   	<	   6	 	<	  2.1	   	Sp
272.8044450	+30.9888126	164.4753750	-25.1581389	J105754-250929	10 57 54.09	-25 09 29.3	  358	 24	 502	 26	  444	 22	444	g	   	 	   6	 2	 	 1.8	-66	 	 16	 2	 	  3.1	-68	 	  18	2	 	  4.0	-62	Sp
272.4651127	+31.5078110	164.4805833	-24.5635833	J105755-243348	10 57 55.34	-24 33 48.9	  243	 15	 495	 26	  648	 32	444	g	   	 	  25	 1	 	10.1	-69	 	 17	 2	 	  3.5	-82	<	   6	 	<	  1.0	   	Sp
256.4596252	+49.2182450	164.5455417	 -3.1578611	J105810-030928	10 58 10.93	-03 09 28.3	  124	  6	    	   	     	   	6..	g	   	<	   9	  	<	 7.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
264.1140734	+42.6833174	164.8015000	-11.5729167	J105912-113422	10 59 12.36	-11 34 22.5	  294	 15	    	   	     	   	6..	g	   	 	  18	 4	 	 6.1	 33	 	   	  	 	     	   	 	    	 	 	     	   	Sp
273.8389177	+30.1011600	164.8574583	-26.3677778	J105925-262204	10 59 25.79	-26 22 04.0	   57	  4	  99	  5	  114	  6	444	g	   	<	   9	  	<	16.3	   	<	  6	  	<	  6.1	   	<	   6	 	<	  5.2	   	Sp
265.3544120	+41.7599190	165.0461667	-12.8531944	J110011-125111	11 00 11.08	-12 51 11.5	  178	  9	    	   	     	   	6..	g	   	<	   8	  	<	 4.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
261.3139507	+46.0256212	165.1274583	 -7.6906944	J110030-074126	11 00 30.59	-07 41 26.5	   81	  4	    	   	     	   	6..	g	   	<	   7	  	<	 9.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
255.6999685	+51.2817369	165.5180417	 -1.2738333	J110204-011625	11 02 04.33	-01 16 25.8	   78	  4	    	   	     	   	6..	p	e  	<	  10	  	<	12.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
257.1524054	+50.3304683	165.6042083	 -2.5928611	J110225-023534	11 02 25.01	-02 35 34.3	   87	  5	    	   	     	   	6..	g	   	<	  11	  	<	12.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
263.5516577	+44.6934398	165.6299167	 -9.6906111	J110231-094126	11 02 31.18	-09 41 26.2	   80	  4	    	   	     	   	6..	g	   	 	   6	 2	 	 8.1	 -3	 	   	  	 	     	   	 	    	 	 	     	   	Sp
274.0468665	+32.2963072	166.1919167	-24.5242778	J110446-243127	11 04 46.06	-24 31 27.4	  516	 33	 876	 46	  850	 42	444	g	   	 	  13	 2	 	 2.5	-73	<	  9	  	<	  1.0	   	<	   8	 	<	  1.0	   	Sp
272.8664420	+34.6679688	166.4802083	-21.9701389	J110555-215812	11 05 55.25	-21 58 12.5	   41	  3	  44	  4	   69	  4	444	g	   	<	   6	  	<	14.7	   	<	  7	  	<	 15.0	   	<	   6	 	<	  8.7	   	Sp
275.6730989	+30.2381030	166.4957083	-26.9926944	J110558-265933	11 05 58.97	-26 59 33.7	  197	 12	 208	 11	  140	  7	444	g	   	<	   6	  	<	 3.1	   	<	  7	  	<	  3.2	   	<	   6	 	<	  4.3	   	Sp
272.4956220	+35.4373858	166.5930833	-21.1496944	J110622-210858	11 06 22.34	-21 08 58.9	  112	  5	 406	 16	  747	 25	444	g	e  	 	  12	 2	 	14.8	-15	 	 49	 2	 	 23.3	-15	 	  68	1	 	 13.6	-14	Sp
256.6600204	+52.3029398	166.6324167	 -0.8813889	J110631-005253	11 06 31.78	-00 52 53.0	  133	  7	    	   	     	   	6..	g	   	<	  10	  	<	 7.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
266.9654134	+43.0263675	166.7763750	-12.4419167	J110706-122630	11 07 06.33	-12 26 30.9	   95	  5	    	   	     	   	6..	g	   	<	  11	  	<	11.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
261.3131787	+48.8556350	166.8221667	 -5.4158889	J110717-052457	11 07 17.32	-05 24 57.2	   99	  5	    	   	     	   	7..	g	   	<	   6	  	<	 6.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
267.4115951	+43.1360410	167.1187083	-12.5226111	J110828-123121	11 08 28.49	-12 31 21.4	   42	  3	    	   	     	   	6..	g	   	<	  11	  	<	25.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
274.2762149	+34.0899446	167.2947917	-23.0291389	J110910-230144	11 09 10.75	-23 01 44.9	   92	  6	 230	 12	  344	 17	444	g	   	<	   6	  	<	 6.5	   	 	 11	 3	 	  4.6	 74	 	   9	2	 	  2.5	 65	Sp
270.3579202	+39.8451869	167.3239583	-16.4793889	J110917-162845	11 09 17.75	-16 28 45.8	   42	  3	    	   	     	   	4..	g	   	<	  15	  	<	35.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
